nm,R
3250.63,0.9843247
3258.35,0.9843952
3266.07,0.9844932
3273.79,0.9844617
3281.51,0.9844532
3289.24,0.9846117
3296.96,0.9846922
3304.68,0.9847697
3312.4,0.9849587
3320.12,0.9848847
3327.84,0.9853542
3335.56,0.9857237
3343.28,0.9859732
3351.01,0.9863587
3358.73,0.9866302
3366.45,0.9866422
3374.17,0.9865552
3381.89,0.9863592
3389.61,0.9861802
3397.33,0.9860412
3405.05,0.9860162
3412.78,0.9858362
3420.5,0.9858837
3428.22,0.9859137
3435.94,0.9861592
3443.66,0.9862437
3451.38,0.9863177
3459.1,0.9864922
3466.82,0.9865232
3474.55,0.9863742
3482.27,0.9863397
3489.99,0.9863347
3497.71,0.9861982
3505.43,0.9862197
3513.15,0.9861197
3520.87,0.9860792
3528.59,0.9861992
3536.31,0.9862422
3544.04,0.9863017
3551.76,0.9863562
3559.48,0.9863947
3567.2,0.9864767
3574.92,0.9864202
3582.64,0.9864677
3590.36,0.9864847
3598.08,0.9864282
3605.81,0.9864137
3613.53,0.9864797
3621.25,0.9865627
3628.97,0.9866472
3636.69,0.9867667
3644.41,0.9868137
3652.13,0.9868842
3659.85,0.9869772
3667.58,0.9869382
3675.3,0.9869967
3683.02,0.9869782
3690.74,0.9869337
3698.46,0.9869537
3706.18,0.9870887
3713.9,0.9871437
3721.62,0.9871137
3729.35,0.9870837
3737.07,0.9870987
3744.79,0.9872087
3752.51,0.9872737
3760.23,0.9872987
3767.95,0.9872787
3775.67,0.9873287
3783.39,0.9872637
3791.11,0.9872887
3798.84,0.9872887
3806.56,0.9873237
3814.28,0.9873187
3822,0.9874537
3829.72,0.9875137
3837.44,0.9875187
3845.16,0.9874837
3852.88,0.9874637
3860.61,0.9874387
3868.33,0.9874537
3876.05,0.9874987
3883.77,0.9875987
3891.49,0.9875337
3899.21,0.9874637
3906.93,0.9874587
3914.65,0.9874187
3922.38,0.9873437
3930.1,0.9873537
3937.82,0.9873087
3945.54,0.9873237
3953.26,0.9873087
3960.98,0.9873887
3968.7,0.9874237
3976.42,0.9874187
3984.15,0.9873787
3991.87,0.9873487
3999.59,0.9872587
4007.31,0.9873237
4015.03,0.9872587
4022.75,0.9872837
4030.47,0.9871787
4038.19,0.9871887
4045.91,0.9873137
4053.64,0.9873337
4061.36,0.9873787
4069.08,0.9874037
4076.8,0.9875137
4084.52,0.9875987
4092.24,0.9876087
4099.96,0.9875437
4107.68,0.9875637
4115.41,0.9874837
4123.13,0.9874137
4130.85,0.9874437
4138.57,0.9874587
4146.29,0.9874337
4154.01,0.9874037
4161.73,0.9874237
4169.45,0.9874237
4177.18,0.9873937
4184.9,0.9876737
4192.62,0.9887637
4200.34,0.9914887
4208.06,0.9955587
4215.78,0.9951146
4223.5,0.9939653
4231.22,0.9918451
4238.95,0.9930226
4246.67,0.9934392
4254.39,0.9926692
4262.11,0.9941407
4269.83,0.994714
4277.55,0.9908271
