nm,T
835,0.954173536
836,0.954071075
837,0.954083176
838,0.954209971
839,0.954411514
840,0.95463612
841,0.954810963
842,0.954882104
843,0.954839798
844,0.954794498
845,0.95487218
846,0.954840339
847,0.955038544
848,0.954823816
849,0.954941452
850,0.955077772
851,0.955293703
852,0.954560999
853,0.954825992
854,0.955063955
855,0.955258552
856,0.955363454
857,0.955434732
858,0.955469798
859,0.955478747
860,0.955482986
861,0.95535522
862,0.95549139
863,0.95548132
864,0.95548967
865,0.9555284
866,0.95547724
867,0.95543391
868,0.9555095
869,0.9555292
870,0.95535605
871,0.95546931
872,0.95586487
873,0.95601377
874,0.9559823
875,0.955737
876,0.95563637
877,0.95585505
878,0.95577789
879,0.95575274
880,0.95564447
881,0.95575825
882,0.95567631
883,0.95574055
884,0.9557095
885,0.95567802
886,0.95574223
887,0.95566151
888,0.95558892
889,0.95579398
890,0.95554024
891,0.95549161
892,0.95564643
893,0.95561427
894,0.9555249
895,0.95541655
896,0.95552514
897,0.95563426
898,0.95577669
899,0.95567531
900,0.95585204
901,0.95574782
902,0.95563376
903,0.95576811
904,0.955497
905,0.95528384
906,0.95531903
907,0.95560371
908,0.95574347
909,0.95577543
910,0.95597383
911,0.95600807
912,0.95588293
913,0.95598219
914,0.95603838
915,0.9560537
916,0.95588362
917,0.95601995
918,0.95601708
919,0.95588666
920,0.95595389
921,0.95587575
922,0.95577954
923,0.95563419
924,0.95573447
925,0.95586969
926,0.95575987
927,0.955933
928,0.95608655
929,0.95599996
930,0.95606467
931,0.95619325
932,0.95616167
933,0.95600556
934,0.95600909
935,0.95621141
936,0.95616974
937,0.95622215
938,0.95621145
939,0.95617667
940,0.95605702
941,0.95601222
942,0.95611181
943,0.95626737
944,0.95618418
945,0.95638646
946,0.95622326
947,0.95606075
948,0.95595337
949,0.95605912
950,0.9561788
951,0.95623837
952,0.95627322
953,0.95620208
954,0.95638916
955,0.9563894
956,0.95628617
957,0.95630374
958,0.95617053
959,0.9559566
960,0.95589643
961,0.95614761
962,0.95618117
963,0.95617521
964,0.95605158
965,0.95596499
966,0.95616055
967,0.95631216
968,0.95630567
969,0.95621295
970,0.95616565
971,0.95627521
972,0.95622814
973,0.95613657
974,0.956019
975,0.95602578
976,0.95600496
977,0.95641411
978,0.95656904
979,0.95639219
980,0.95611795
981,0.95625762
982,0.95649241
983,0.95648317
984,0.95653292
985,0.95652079
986,0.95633439
987,0.95631326
988,0.95654152
989,0.9562905
990,0.95607073
991,0.95635166
992,0.95602935
993,0.95628795
994,0.95647543
995,0.95664944
996,0.95610051
997,0.95606103
998,0.95634962
999,0.95650762
1000,0.95635147
1001,0.95645395
1002,0.95651853
1003,0.95637178
1004,0.9564293
1005,0.95646644
1006,0.95646871
1007,0.95632966
1008,0.95611808
1009,0.95629927
1010,0.95636897
1011,0.95649563
1012,0.95643381
1013,0.95654079
1014,0.95660293
1015,0.95665576
1016,0.95662986
1017,0.95641906
1018,0.95640195
1019,0.95642762
1020,0.95654061
1021,0.95655355
1022,0.95622618
1023,0.9562865
1024,0.95640894
1025,0.95633958
1026,0.95635215
1027,0.9562128
1028,0.95609423
1029,0.95598712
1030,0.95632586
1031,0.95623778
1032,0.9561511
1033,0.95624566
1034,0.95667946
1035,0.95599401
1036,0.95641219
1037,0.95647662
1038,0.95661502
1039,0.95657904
1040,0.956618
1041,0.95621785
1042,0.95654084
1043,0.95657199
1044,0.95639958
1045,0.95624716
1046,0.95629797
1047,0.95615217
1048,0.95634134
1049,0.95626707
1050,0.95632689
1051,0.95618345
1052,0.95634313
1053,0.95615828
1054,0.9561296
1055,0.95628248
1056,0.95642577
1057,0.95657575
1058,0.95655297
1059,0.95661248
1060,0.95646334
1061,0.95644355
1062,0.95642336
1063,0.95641824
1064,0.95641058
1065,0.95646324
1066,0.95637797
1067,0.95618052
1068,0.95612654
1069,0.95624384
1070,0.95638226
1071,0.95645924
1072,0.95679911
1073,0.95649905
1074,0.95638475
1075,0.95640425
1076,0.95652763
1077,0.95672211
1078,0.95653628
1079,0.95634286
1080,0.95648749
1081,0.95639112
1082,0.95644368
1083,0.95654657
1084,0.95655377
1085,0.9564903
1086,0.95634128
1087,0.95624827
1088,0.95639018
1089,0.95680795
1090,0.95644404
1091,0.95644558
1092,0.95652432
1093,0.95663737
1094,0.95667604
1095,0.95662045
1096,0.95648381
1097,0.95652555
1098,0.95650216
1099,0.95650067
1100,0.95656888
1101,0.9561555
1102,0.95624247
1103,0.95636265
1104,0.95617739
1105,0.95627753
1106,0.95626736
1107,0.95644422
1108,0.95631207
1109,0.95633502
1110,0.95657551
1111,0.95649304
1112,0.95639465
1113,0.95678222
1114,0.95657184
1115,0.95688689
1116,0.95662776
1117,0.9566495
1118,0.95659276
1119,0.95667611
1120,0.95649729
1121,0.95647833
1122,0.9567143
1123,0.95656379
1124,0.95660394
1125,0.95645664
1126,0.95659084
1127,0.95647292
1128,0.95657928
1129,0.95627623
1130,0.95624342
1131,0.95622268
1132,0.95639365
1133,0.95649769
1134,0.95663133
1135,0.95640684
1136,0.95688186
1137,0.95675676
1138,0.95700917
1139,0.95698678
1140,0.95699123
1141,0.95685718
1142,0.95667965
1143,0.95661222
1144,0.95630881
1145,0.95647971
1146,0.95652628
1147,0.95647697
1148,0.95656233
1149,0.95643783
1150,0.95671366
1151,0.95690756
1152,0.95648568
1153,0.95657361
1154,0.9567414
1155,0.956591
1156,0.95650989
1157,0.95687026
1158,0.95693043
1159,0.95686691
1160,0.9568403
1161,0.95677156
1162,0.95683189
1163,0.95678565
1164,0.95686549
1165,0.95668674
1166,0.95667366
1167,0.95689398
1168,0.95678875
