nm,T
550,0.93657868
551,0.93683278
552,0.93687385
553,0.93698973
554,0.9363352
555,0.93640018
556,0.93641645
557,0.93651409
558,0.93733935
559,0.9368084
560,0.93624953
561,0.93681303
562,0.93674271
563,0.93673275
564,0.93617332
565,0.93728221
566,0.93710414
567,0.93658979
568,0.93710561
569,0.93673362
570,0.93681446
571,0.93599854
572,0.93677654
573,0.93714419
574,0.93679553
575,0.93684018
576,0.9370381
577,0.93623643
578,0.93704805
579,0.93723109
580,0.93693857
581,0.93697267
582,0.93687695
583,0.93641695
584,0.9372886
585,0.9366668
586,0.93677216
587,0.93714648
588,0.93675728
589,0.93653121
590,0.93723633
591,0.93676855
592,0.93687931
593,0.93737368
594,0.93694725
595,0.93671325
596,0.9373441
597,0.93679916
598,0.9368229
599,0.93696534
600,0.93711161
601,0.93727921
602,0.93719923
603,0.93710207
604,0.93701415
605,0.9370842
606,0.93670683
607,0.93734921
608,0.93742604
609,0.93676097
610,0.937044
611,0.93689646
612,0.93702374
613,0.93691287
614,0.93766456
615,0.93741974
616,0.93694223
617,0.93701317
618,0.93732829
619,0.93678531
620,0.93783203
621,0.93744906
622,0.93704565
623,0.93684925
624,0.93729931
625,0.93666831
626,0.93755264
627,0.93747627
628,0.93718463
629,0.93711182
630,0.93744021
631,0.93705973
632,0.93768746
633,0.93747255
634,0.93716579
635,0.93688558
636,0.93707814
637,0.93698565
638,0.93774491
639,0.93749079
640,0.93704721
641,0.93696917
642,0.93747226
643,0.93705773
644,0.93774576
645,0.93742179
646,0.93692191
647,0.93680748
648,0.93706363
649,0.93719963
650,0.93762304
651,0.93730975
652,0.937076
653,0.93711699
654,0.93721139
655,0.9370913
656,0.93750692
657,0.93724769
658,0.93712607
659,0.93726473
660,0.93723513
661,0.93717073
662,0.93763373
663,0.93755397
664,0.93733338
665,0.93751844
666,0.93746833
667,0.93739776
668,0.93798494
669,0.93798101
670,0.93745154
671,0.93767687
672,0.93758784
673,0.93768991
674,0.93802125
675,0.93750124
676,0.93746804
677,0.93756084
678,0.93771215
679,0.93760237
680,0.9380544
681,0.93739296
682,0.93747235
683,0.93766708
684,0.93760231
685,0.93780029
686,0.93807731
687,0.93734153
688,0.93753914
689,0.93776573
690,0.93767397
691,0.93781251
692,0.93794098
693,0.93812627
694,0.9378232
695,0.93768109
696,0.93763917
697,0.93728766
698,0.93760347
699,0.93791965
700,0.93771303
701,0.93758279
702,0.93759265
703,0.93760108
704,0.93740314
705,0.93786183
706,0.93793495
707,0.9377177
708,0.93753899
709,0.93753386
710,0.93763495
711,0.93807549
712,0.93780444
713,0.93774004
714,0.93800558
715,0.9379726
716,0.93797426
717,0.93829131
718,0.93784587
719,0.93771191
720,0.93770671
721,0.9377456
722,0.9377405
723,0.93804949
724,0.9380244
725,0.93779958
726,0.93775012
727,0.9376226
728,0.93762883
729,0.93821222
730,0.93809102
731,0.93770644
732,0.93767605
733,0.93770151
734,0.93773621
735,0.93807778
736,0.93792026
737,0.93781425
738,0.9377884
739,0.93758099
740,0.9377095
741,0.93803354
742,0.93793143
743,0.93774097
744,0.93758971
745,0.93764712
746,0.93798405
747,0.93834325
748,0.93815151
749,0.93789852
750,0.93793866
751,0.9378337
752,0.93809139
753,0.93847512
754,0.9380546
755,0.93784952
756,0.93793701
757,0.9380238
758,0.93844281
759,0.93860208
760,0.93813185
761,0.93794254
762,0.937977
763,0.93789296
764,0.93836691
765,0.93874466
766,0.93830784
767,0.93793226
768,0.93810009
769,0.93814503
770,0.93839301
771,0.93871459
772,0.93827816
773,0.93810039
774,0.93819051
775,0.93814095
776,0.93874004
777,0.9387566
778,0.9382984
779,0.93824446
780,0.93828007
781,0.93833775
782,0.93873053
783,0.93855659
784,0.93808053
785,0.9381625
786,0.93844418
787,0.93846464
788,0.93865721
789,0.93853543
790,0.93818896
791,0.93811341
792,0.93817062
793,0.93823508
794,0.93874401
795,0.93860572
796,0.93824747
797,0.93826101
798,0.93838705
799,0.93840482
800,0.93892871
801,0.93877474
802,0.93833043
803,0.93834964
804,0.93845308
805,0.93836213
806,0.93877526
807,0.93885695
808,0.93842148
809,0.93846409
810,0.93849701
811,0.93832168
812,0.93846996
813,0.93838305
814,0.93866458
815,0.93894091
816,0.9383996
817,0.93840784
818,0.93853678
819,0.93826864
820,0.93835869
821,0.93878414
822,0.9385407
823,0.93831609
824,0.93860172
825,0.93861513
826,0.93910734
827,0.93875945
828,0.9384276
829,0.93826474
830,0.93822995
831,0.93820154
832,0.93862797
833,0.93856641
834,0.93856666
835,0.93860734
836,0.9387484
837,0.93861426
838,0.93858522
839,0.93853587
840,0.93858157
841,0.93848334
842,0.93848978
843,0.93835323
844,0.93832104
845,0.93851319
846,0.93824861
847,0.93827791
848,0.93837252
849,0.93840032
850,0.93897544
851,0.93871142
852,0.93850902
853,0.9387345
854,0.93883111
855,0.93854881
856,0.93901582
857,0.93891443
858,0.93891569
859,0.93769098
860,0.93919721
861,0.93972341
862,0.93956684
863,0.93947603
864,0.93957314
865,0.93954797
866,0.94001887
867,0.93954609
868,0.9395108
869,0.93957644
