nm,R
3659.13,0.9754057
3669.05,0.9753369
3678.97,0.9752691
3689.13,0.9752008
3699.04,0.9751348
3708.93,0.9750697
3719.08,0.9750042
3728.96,0.9749409
3739.1,0.9748773
3748.97,0.9748158
3759.09,0.974754
3768.95,0.9746942
3779.06,0.9746342
3788.9,0.9745761
3798.99,0.9745178
3809.08,0.9744604
3818.9,0.9744049
3828.98,0.9743491
3839.04,0.9742943
3849.1,0.9742402
3858.9,0.9741879
3868.94,0.9741355
3878.98,0.9740839
3889.01,0.9740331
3899.03,0.9739831
3909.05,0.9739339
3919.06,0.9738855
3928.8,0.9738386
3938.8,0.9737917
3949.04,0.9737448
3959.02,0.9736994
3968.99,0.9736548
3978.96,0.9736109
3988.92,0.9735677
3998.87,0.9735253
4008.81,0.9734835
4019,0.9734419
4028.93,0.9734016
4038.85,0.973362
4048.76,0.973323
4058.92,0.9732842
4068.82,0.9732466
4078.96,0.9732092
4088.85,0.9731729
4098.72,0.9731373
4108.84,0.9731019
4118.7,0.9730676
4128.81,0.9730335
4138.9,0.973
4148.74,0.9729676
4158.82,0.9729354
4168.89,0.9729038
4178.7,0.9728732
4188.76,0.9728429
4198.81,0.9728131
4208.85,0.9727839
4218.88,0.9727554
4228.65,0.9727277
4238.67,0.9727003
4248.67,0.9726735
4258.67,0.9726472
4268.66,0.9726215
4278.65,0.9725963
4288.62,0.9725717
4298.83,0.9725474
4308.79,0.9725239
4318.74,0.9725009
4328.68,0.9724784
4338.61,0.9724564
4348.78,0.9724348
4358.7,0.9724138
4368.6,0.9723934
4378.75,0.9723733
4388.64,0.9723538
4398.76,0.9723347
4408.64,0.9723161
4418.75,0.972298
4428.6,0.9722804
4438.69,0.9722632
4448.53,0.9722465
4458.6,0.9722302
4468.66,0.9722143
4478.72,0.9721989
4488.52,0.972184
4498.56,0.9721694
4508.59,0.9721553
4518.6,0.9721416
4528.61,0.9721283
4538.61,0.9721155
4548.6,0.972103
4558.59,0.9720909
4568.56,0.9720793
4578.52,0.972068
4588.47,0.9720571
4598.66,0.9720466
4608.59,0.9720365
4618.52,0.9720267
4628.43,0.9720172
4638.58,0.9720083
4648.48,0.9719996
4658.61,0.9719913
4668.48,0.9719833
4678.59,0.9719757
4688.45,0.9719683
4698.54,0.9719614
4708.61,0.9719549
4718.44,0.9719484
4728.5,0.9719425
4738.55,0.9719369
4748.58,0.9719316
4758.37,0.9719263
4768.39,0.9719216
4778.4,0.9719172
4788.39,0.9719131
4798.38,0.9719092
4808.36,0.9719056
4818.32,0.9719023
4828.52,0.9718995
4838.46,0.9718967
4848.39,0.9718942
4858.32,0.9718919
4868.47,0.9718902
4878.37,0.9718884
4888.5,0.9718872
4898.38,0.9718859
4908.49,0.9718851
4918.35,0.9718842
4928.43,0.9718839
4938.27,0.9718835
4948.33,0.9718836
4958.38,0.971884
4968.42,0.9718845
4978.45,0.9718852
4988.24,0.9718859
4998.24,0.971887
5008.53,0.9718888
5018.35,0.97189
5028.17,0.9718915
5037.99,0.9718932
5048.56,0.9718962
5058.37,0.9718982
5068.19,0.9719004
5078,0.9719028
5088.56,0.9719066
5098.38,0.9719094
5108.18,0.9719123
5117.99,0.9719153
5128.55,0.9719198
5138.36,0.9719232
5148.17,0.9719268
5157.97,0.9719305
5168.53,0.9719356
5178.33,0.9719396
5188.13,0.9719437
5197.93,0.971948
5208.48,0.9719537
5218.28,0.9719582
5228.08,0.9719629
5237.87,0.9719677
5248.42,0.971974
5258.21,0.971979
5268.01,0.9719841
5278.55,0.9719907
5288.34,0.9719961
5298.13,0.9720016
5307.92,0.9720071
5318.45,0.9720142
5328.24,0.97202
5338.02,0.9720258
5347.81,0.9720318
5358.34,0.9720392
5368.12,0.9720454
5377.9,0.9720516
5388.43,0.9720593
5398.21,0.9720657
5407.99,0.9720721
5417.76,0.9720786
5428.29,0.9720866
5438.06,0.9720933
5447.83,0.9721
5458.36,0.9721082
5468.13,0.972115
5477.89,0.9721219
5488.41,0.9721303
5498.18,0.9721373
5507.94,0.9721443
5517.71,0.9721514
5528.22,0.97216
5537.98,0.9721672
5547.74,0.9721744
5558.25,0.9721831
5568.01,0.9721903
5577.77,0.9721976
5588.27,0.9722064
5598.03,0.9722138
5607.78,0.9722212
5618.28,0.97223
5628.03,0.9722374
5637.78,0.9722449
5648.28,0.9722538
5658.03,0.9722612
5667.77,0.9722687
5678.27,0.9722776
5688.01,0.9722851
5697.75,0.9722926
5708.25,0.9723015
5717.99,0.972309
5727.72,0.9723165
5738.21,0.9723254
5747.95,0.9723328
5757.68,0.9723403
5768.17,0.9723492
5777.9,0.9723566
5787.63,0.972364
5798.11,0.9723728
5807.84,0.9723802
5817.57,0.9723875
5828.04,0.9723963
5837.77,0.9724036
5847.49,0.9724108
5857.96,0.9724195
5867.68,0.9724267
5878.15,0.9724353
5887.87,0.9724424
5897.59,0.9724495
5908.05,0.972458
5917.77,0.972465
5927.48,0.972472
5937.94,0.9724803
5947.65,0.9724872
5958.11,0.9724954
5967.82,0.9725022
5977.53,0.9725089
5987.98,0.9725169
5997.69,0.9725236
6008.14,0.9725315
6017.84,0.972538
6027.54,0.9725445
6037.99,0.9725522
6047.69,0.9725586
6057.38,0.9725648
6067.83,0.9725723
6077.52,0.9725785
6087.96,0.9725859
6097.65,0.9725919
6108.09,0.9725991
6117.78,0.9726049
6127.47,0.9726107
6137.9,0.9726177
6147.59,0.9726234
6158.02,0.9726302
6167.7,0.9726356
6177.38,0.972641
6187.81,0.9726476
6197.49,0.9726528
6207.91,0.9726592
6217.59,0.9726642
6228.01,0.9726704
6237.68,0.9726753
6247.35,0.9726801
6257.77,0.972686
6267.44,0.9726906
6277.85,0.9726963
6287.52,0.9727007
6297.93,0.9727062
6307.59,0.9727104
6317.26,0.9727146
6327.66,0.9727197
6337.32,0.9727237
6347.73,0.9727286
6357.38,0.9727324
6367.78,0.9727371
6377.44,0.9727406
6387.84,0.9727451
6397.49,0.9727485
6407.88,0.9727527
6417.53,0.9727558
6427.18,0.9727589
6437.57,0.9727628
6447.22,0.9727656
6457.6,0.9727692
6467.25,0.9727718
6477.63,0.9727752
6487.27,0.9727776
6497.65,0.9727807
6507.29,0.9727828
6517.67,0.9727858
6527.3,0.9727876
6537.67,0.9727903
6547.31,0.972792
6557.68,0.9727944
6567.31,0.9727958
6577.68,0.9727979
6587.3,0.9727991
6597.67,0.972801
6607.29,0.9728019
6617.65,0.9728035
6627.27,0.9728042
6637.63,0.9728055
6647.25,0.9728059
6657.61,0.972807
6667.22,0.9728072
6677.57,0.972808
6687.19,0.9728079
6697.54,0.9728084
6707.15,0.9728081
6717.49,0.9728083
6727.1,0.9728077
6737.44,0.9728077
6747.05,0.9728068
6757.39,0.9728065
6766.99,0.9728054
6777.33,0.9728048
6787.66,0.972804
6797.26,0.9728025
6807.59,0.9728014
6817.18,0.9727997
6827.51,0.9727983
6837.11,0.9727963
6847.43,0.9727946
6857.02,0.9727923
6867.34,0.9727904
6876.93,0.9727878
6887.25,0.9727856
6897.57,0.9727832
6907.15,0.9727802
6917.46,0.9727775
6927.04,0.9727743
6937.35,0.9727713
6946.93,0.9727677
6957.23,0.9727645
6967.54,0.972761
6977.11,0.9727571
6987.42,0.9727533
6996.98,0.9727491
7007.28,0.9727451
7016.85,0.9727406
7027.14,0.9727362
7037.44,0.9727317
7047,0.9727268
7057.29,0.972722
7066.85,0.9727168
7077.14,0.9727117
7087.43,0.9727064
7096.98,0.9727008
7107.26,0.9726952
7116.81,0.9726893
7127.09,0.9726835
7137.37,0.9726774
7146.92,0.9726711
7157.19,0.9726648
7167.47,0.9726583
7177.01,0.9726515
7187.28,0.9726447
7196.81,0.9726377
7207.08,0.9726306
7217.35,0.9726234
7226.88,0.9726159
7237.14,0.9726083
7247.4,0.9726006
7256.93,0.9725927
7267.19,0.9725847
7276.71,0.9725766
7286.97,0.9709918
7297.22,0.9707289
7306.74,0.9703624
7316.99,0.9698147
7327.24,0.9696933
7336.75,0.9690418
7346.99,0.967704
7357.24,0.9667689
7366.75,0.9660641
7376.98,0.965503
7387.22,0.9650377
7396.73,0.9646396
7406.96,0.9642901
7417.19,0.9639771
7426.69,0.9636923
7436.92,0.9634295
7447.15,0.9631842
7456.64,0.9629548
7466.87,0.9627381
7477.09,0.9625323
7487.31,0.9623359
7496.8,0.9621477
7507.01,0.9619663
7517.23,0.9600773
7526.71,0.959375
7536.92,0.9589702
7547.13,0.9586856
7556.61,0.9584627
7566.82,0.9582759
7577.02,0.9581133
7587.23,0.9579686
7596.7,0.9578388
7606.9,0.9577218
7617.09,0.9576182
7626.56,0.95753
7636.75,0.9574532
7646.95,0.9573858
7657.14,0.957326
7666.6,0.9572728
7676.78,0.9572244
7686.97,0.9571804
7697.15,0.9571401
7706.6,0.9571035
7716.78,0.9570691
7726.96,0.9564893
7737.14,0.9564846
7746.58,0.9564802
7756.76,0.9564752
7766.93,0.95647
7777.09,0.9564647
7786.53,0.9564599
7796.7,0.9564543
7806.86,0.9564486
7817.02,0.9564427
7826.46,0.9564373
7836.61,0.9564311
7846.77,0.9564248
7856.92,0.9564184
7867.07,0.9564118
7876.5,0.9564057
7886.65,0.9563988
7896.79,0.9563918
7906.94,0.9563847
7916.36,0.9563781
7926.5,0.9563707
7936.64,0.9563631
7946.77,0.9563555
7956.91,0.9563476
7967.04,0.9563397
7976.45,0.9563323
7986.58,0.9563241
7996.7,0.9563157
8006.83,0.9563073
8016.95,0.9562986
8026.35,0.9562907
8036.47,0.9562818
8046.59,0.9562728
8056.71,0.9562637
8066.82,0.9562544
8076.93,0.956245
8086.32,0.9562364
8096.43,0.9562267
8106.54,0.956217
8116.64,0.9562071
8126.75,0.956197
8136.85,0.9561869
8146.94,0.9561766
8156.32,0.9561672
8166.42,0.9561567
8176.51,0.9561461
8186.6,0.9561353
8196.69,0.9561245
8206.78,0.9561135
8216.86,0.9561024
8226.23,0.9560922
8236.31,0.9560809
8246.39,0.9560695
8256.46,0.9560579
8266.54,0.9560463
8276.61,0.9560345
8286.69,0.9560226
8296.76,0.9560106
8306.82,0.9559985
8316.17,0.9559874
8326.23,0.9559751
8336.3,0.9559627
8346.36,0.9559502
8356.41,0.9559376
8366.47,0.9559248
8376.52,0.955912
8386.58,0.9558991
8396.63,0.955886
8406.67,0.9558729
8416.72,0.9558596
8426.76,0.9558463
8436.09,0.9558341
8446.13,0.9558205
8456.17,0.9558069
8466.2,0.9557932
8476.24,0.9557794
8486.27,0.9557655
8496.3,0.9557515
8506.33,0.9557374
8516.35,0.9557329
8526.38,0.9557285
8536.4,0.955724
8546.42,0.9557195
8556.44,0.955715
8566.45,0.9557105
8576.46,0.955706
8586.48,0.9557015
8596.49,0.955697
8606.49,0.9556925
8616.5,0.955688
8626.5,0.9556835
8636.5,0.955679
8646.5,0.9556745
8656.5,0.95567
8666.5,0.9556655
8676.49,0.955661
8686.48,0.9556566
8696.47,0.9556522
8706.46,0.9556478
8716.44,0.9556434
8726.42,0.955639
8736.4,0.9556347
8746.38,0.9556304
8756.36,0.9556261
8766.33,0.9556218
8776.3,0.9556176
8786.27,0.9556134
8796.24,0.9556093
8806.21,0.9556052
8816.17,0.9556011
8826.13,0.9555971
8836.09,0.9555931
8846.05,0.9555892
8856.01,0.9555853
8865.96,0.9555815
8875.91,0.9555777
8885.86,0.955574
8896.52,0.9555689
8906.46,0.9555653
8916.41,0.9555618
8926.35,0.9555583
8936.28,0.9555549
8946.22,0.9555516
8956.15,0.9555484
8966.09,0.9555452
8976.02,0.9555421
8985.94,0.9555391
8995.87,0.9555362
9005.79,0.9555333
9016.42,0.9555291
9026.34,0.9555264
9036.26,0.9555239
9046.17,0.9555214
9056.08,0.955519
9065.99,0.9555168
9075.9,0.9555146
9085.81,0.9555126
9095.71,0.9555106
9106.32,0.9555072
9116.22,0.9555055
9126.12,0.9555039
9136.01,0.9555025
9145.9,0.9555011
9155.79,0.9554999
9165.68,0.9554988
9176.27,0.9554963
9186.16,0.9554955
9196.04,0.9554948
9205.92,0.9554943
9215.8,0.9554939
9225.67,0.9554937
9236.25,0.9554921
9246.12,0.9554921
9255.99,0.9554924
9265.85,0.9554928
9275.72,0.9554934
9286.28,0.9554925
9296.14,0.9554934
9306,0.9554945
9315.85,0.9554958
9325.71,0.9554973
9336.26,0.9554974
9346.11,0.9554992
9355.95,0.9555012
9365.8,0.9555035
9375.64,0.955506
9386.18,0.955507
9396.02,0.9555099
9405.85,0.955513
9415.68,0.9555163
9426.21,0.9555182
9436.04,0.955522
9445.87,0.955526
9455.69,0.9555302
9465.51,0.9555347
9476.03,0.9555378
9485.85,0.9555428
9495.66,0.955548
9506.17,0.9555519
9515.98,0.9555577
9525.79,0.9555637
9535.59,0.9555701
9546.09,0.955575
9555.89,0.9555819
9565.69,0.9555891
9575.49,0.9555966
9585.98,0.9556027
9595.77,0.9556108
9605.56,0.9556192
9616.04,0.9556263
9625.83,0.9556354
9635.61,0.9556448
9646.08,0.9556529
9655.86,0.9556629
9665.63,0.9556733
9675.41,0.9556841
9685.87,0.9556936
9695.64,0.9557051
9705.4,0.955717
9715.86,0.9557276
9725.62,0.9557403
9735.38,0.9557533
9745.83,0.9557651
9755.58,0.955779
9766.03,0.9557917
9775.78,0.9558064
9785.52,0.9558215
9795.96,0.9558355
9805.7,0.9558515
9815.44,0.955868
9825.87,0.9558833
9835.61,0.9559008
9845.34,0.9559187
9855.76,0.9559355
9865.49,0.9559544
9875.91,0.9559722
9885.63,0.9559922
9895.35,0.9560126
9905.76,0.9560321
9915.47,0.9560536
9925.88,0.9560741
9935.59,0.9560968
9945.29,0.9561201
9955.69,0.9561424
9965.39,0.9561669
9975.78,0.9561904
9985.48,0.9562161
9995.87,0.9562409
10005.56,0.9562679
10015.25,0.9562956
10025.63,0.9563224
10035.31,0.9563514
10045.69,0.9563796
10055.37,0.9564101
10065.73,0.9564397
10075.41,0.9564717
10085.77,0.9565028
10095.44,0.9565359
10105.8,0.9565677
10115.46,0.956601
10125.82,0.956633
10135.48,0.9566666
10145.13,0.9567004
10155.48,0.9567328
10165.13,0.9567669
10175.47,0.9567995
10185.12,0.9568338
10195.45,0.9568668
10205.78,0.9568998
10215.42,0.9569345
10225.75,0.9569678
10235.38,0.9570027
10245.7,0.9570363
10255.33,0.9570715
10265.64,0.9571053
10275.27,0.9571407
10285.58,0.9571749
10295.2,0.9572105
10305.5,0.9572449
10315.11,0.9572809
10325.41,0.9573155
10335.71,0.9573502
10345.31,0.9573866
10355.6,0.9574216
10365.21,0.9574581
10375.49,0.9574934
10385.09,0.9575302
10395.36,0.9575657
10405.64,0.9576014
10415.23,0.9576385
10425.5,0.9576744
10435.08,0.9577119
10445.35,0.957748
10455.61,0.9577843
10465.19,0.957822
10475.44,0.9578586
10485.01,0.9578966
10495.26,0.9579333
10505.51,0.9579702
10515.07,0.9580085
10525.32,0.9580457
10535.56,0.9580829
10545.11,0.9581216
10555.34,0.958159
10565.58,0.9581966
10575.12,0.9582356
10585.35,0.9582734
10594.89,0.9583126
10605.11,0.9583507
10615.33,0.9583888
10625.54,0.9584271
10635.07,0.9584667
10645.28,0.9585051
10655.48,0.9585437
10665.01,0.9585836
10675.21,0.9586224
10685.4,0.9586612
10694.92,0.9587014
10705.11,0.9587405
10715.3,0.9587797
10725.48,0.9588189
10734.99,0.9588594
10745.17,0.9588989
10755.34,0.9589384
10764.84,0.9589791
10775.01,0.9590189
10785.18,0.9590586
10795.34,0.9590984
10804.83,0.9591395
10814.99,0.9591795
10825.15,0.9592196
10835.3,0.9592596
10844.77,0.959301
10854.92,0.9593412
10865.07,0.9593815
10875.21,0.9594218
10885.35,0.9594622
10894.81,0.9595037
10904.94,0.9595442
10915.07,0.9595847
10925.2,0.9596252
10935.32,0.9596657
10944.77,0.9597073
10954.89,0.9597479
10965,0.9597884
10975.11,0.959829
10985.22,0.9598695
10995.33,0.95991
11004.76,0.9599515
11014.86,0.959992
11024.96,0.9600324
11035.05,0.9600727
11045.14,0.960113
11055.23,0.9601532
11064.65,0.9601942
11074.73,0.9602343
11084.81,0.9602742
11094.88,0.9603139
11104.96,0.9603535
11115.03,0.9603929
11125.09,0.9604321
11135.16,0.960471
11145.22,0.9605097
11154.61,0.960549
11164.66,0.9605872
11174.72,0.9606251
11184.76,0.9606626
11194.81,0.9606997
11204.85,0.9607363
11214.89,0.9607724
11224.93,0.9608079
11234.96,0.9608428
11245,0.960877
11255.02,0.9609104
11265.05,0.9609429
11275.07,0.9609745
11285.09,0.961005
11295.1,0.9610343
11305.11,0.9610622
11315.12,0.9610886
11325.13,0.9611134
11335.13,0.9611361
11345.13,0.9611567
11355.13,0.9611747
11365.12,0.9611898
11375.11,0.9612016
11385.1,0.9612094
11395.09,0.9612127
11405.07,0.9612106
11415.04,0.961202
11425.02,0.9611857
11434.99,0.96116
11444.96,0.9611612
11454.92,0.9611542
11464.89,0.9611368
11474.85,0.9611059
11484.8,0.9611125
11494.75,0.9611081
11504.7,0.9610879
11514.65,0.9610441
11524.59,0.9610624
11534.53,0.9610642
11544.47,0.961033
11554.41,0.9609193
11565,0.9609745
11574.93,0.9610871
11584.85,0.9611997
11594.77,0.9608124
11604.69,0.9609251
11614.6,0.9610377
11624.51,0.9611504
11634.42,0.961263
11644.33,0.9613757
11654.89,0.9614958
11664.79,0.9616084
11674.68,0.961721
11684.58,0.9618335
11694.46,0.9619461
11704.35,0.9620586
11714.89,0.9621785
11724.77,0.962291
11734.65,0.9624033
11744.52,0.9625157
11754.39,0.962628
11764.25,0.9627402
11774.78,0.9628599
11784.63,0.962972
11794.49,0.963084
11804.34,0.963196
11814.85,0.9633154
11824.7,0.9634272
11834.54,0.963539
11844.38,0.9636507
11854.22,0.9637623
11864.7,0.9638812
11874.53,0.9639926
11884.36,0.964104
11894.18,0.9642152
11904.66,0.9643337
11914.48,0.9644447
11924.29,0.9645556
11934.75,0.9646738
11944.56,0.9647845
11954.36,0.964895
11964.16,0.9650054
11974.61,0.9651231
11984.41,0.9652332
11994.2,0.9653433
12004.64,0.9654605
12014.42,0.9655702
12024.2,0.9656798
12034.63,0.9657966
12044.4,0.9659058
12054.17,0.966015
12064.59,0.9661312
12074.35,0.96624
12084.11,0.9663487
12094.52,0.9664644
12104.27,0.9665727
12114.67,0.966688
12124.41,0.9667959
12134.16,0.9669036
12144.55,0.9670184
12154.28,0.9671257
12164.66,0.96724
12174.39,0.967347
12184.12,0.9674537
12194.49,0.9675674
12204.21,0.9676737
12214.57,0.9677869
12224.28,0.9678928
12234.64,0.9680056
12244.34,0.968111
12254.04,0.9682162
12264.39,0.9683282
12274.08,0.968433
12284.42,0.9685445
12294.1,0.9686487
12304.43,0.9687597
12314.11,0.9688634
12324.44,0.9689739
12334.11,0.9690771
12344.43,0.969187
12354.09,0.9692897
12364.4,0.969399
12374.06,0.9695012
12384.36,0.9696099
12394.01,0.9697115
12404.3,0.9698196
12413.95,0.9699207
12424.23,0.9700282
12434.51,0.9701353
12444.15,0.9702355
12454.42,0.970342
12464.05,0.9704416
12474.32,0.9705474
12483.94,0.9706464
12494.2,0.9707516
12504.45,0.9708565
12514.06,0.9709544
12524.31,0.9710586
12533.91,0.9711559
12544.15,0.9712594
12554.38,0.9713625
12563.98,0.9714588
12574.2,0.9715612
12584.43,0.9716632
12594.01,0.9717585
12604.23,0.9718597
12613.8,0.9719543
12624.01,0.9720548
12634.21,0.9721549
12643.78,0.9722484
12653.97,0.9723477
12664.17,0.9724466
12674.36,0.9725451
12683.9,0.972637
12694.09,0.9727347
12704.26,0.972832
12713.8,0.9729228
12723.97,0.9730192
12734.14,0.9731152
12744.3,0.9732108
12753.82,0.9733
12763.98,0.9733947
12774.13,0.9734889
12784.27,0.9735827
12793.78,0.9736703
12803.92,0.9737632
12814.05,0.9738557
12824.18,0.9739477
12833.68,0.9740335
12843.8,0.9741246
12853.92,0.9742152
12864.03,0.9743053
12874.15,0.974395
12884.25,0.9744842
12893.72,0.9745673
12903.82,0.9746556
12913.92,0.9747433
12924.01,0.9748305
12934.1,0.9749173
12944.18,0.9750035
12953.63,0.9750839
12963.7,0.9751691
12973.77,0.9752538
12983.84,0.975338
12993.9,0.9754217
13003.96,0.9755049
13014.02,0.9755875
13024.07,0.9756696
13034.11,0.9757512
13044.16,0.9758322
13053.57,0.9759077
13063.6,0.9759877
13073.63,0.9760671
13083.66,0.976146
13093.68,0.9762244
13103.7,0.9763021
13113.71,0.9763794
13123.72,0.976456
13133.73,0.9765321
13143.73,0.9766077
13153.73,0.9766826
13163.72,0.976757
13173.71,0.9768308
13183.7,0.9769041
13193.68,0.9769767
13203.66,0.9770488
13213.63,0.9771203
13223.6,0.9771912
13233.57,0.9772615
13243.53,0.9773312
13253.48,0.9774003
13263.44,0.9774688
13274.01,0.9775409
13283.95,0.9776082
