nm,T
604,0.8615205
605,0.8616471
606,0.8618691
607,0.861492
608,0.8621905
609,0.8621425
610,0.8618724
611,0.8619041
612,0.8621709
613,0.8619276
614,0.8622732
615,0.861654
616,0.8615498
617,0.86181
618,0.8619825
619,0.8616365
620,0.8621181
621,0.8622857
622,0.8616779
623,0.861943
624,0.8620705
625,0.8619996
626,0.8623453
627,0.8622265
628,0.861626
629,0.8622181
630,0.8622893
631,0.862024
632,0.862381
633,0.8623149
634,0.8619258
635,0.8622658
636,0.8624635
637,0.8619156
638,0.8623846
639,0.8624978
640,0.8620321
641,0.8622911
642,0.862445
643,0.8624802
644,0.8627972
645,0.8625928
646,0.8622317
647,0.8624825
648,0.8625686
649,0.8624337
650,0.8626427
651,0.8624218
652,0.86204
653,0.8625816
654,0.8625123
655,0.86252
656,0.8625149
657,0.8626786
658,0.8620921
659,0.8628375
660,0.8625983
661,0.8624044
662,0.8627787
663,0.8628466
664,0.8623771
665,0.8629607
666,0.8627944
667,0.8624626
668,0.863045
669,0.8629902
670,0.8624244
671,0.8628433
672,0.8629134
673,0.8627149
674,0.8629872
675,0.8627323
676,0.8626472
677,0.8630331
678,0.8629379
679,0.8628571
680,0.8628436
681,0.8634372
682,0.8625495
683,0.8630555
684,0.8631086
685,0.8626461
686,0.8634317
687,0.8626499
688,0.8628167
689,0.8630392
690,0.8630862
691,0.8626761
692,0.8633538
693,0.8632639
694,0.8626368
695,0.8631187
696,0.8632578
697,0.8630358
698,0.8634559
699,0.8634462
700,0.8627333
701,0.8633079
702,0.8631207
703,0.8630325
704,0.8632476
705,0.8632781
706,0.8626196
707,0.863445
708,0.8632121
709,0.8633384
710,0.8637059
711,0.8636425
712,0.8629315
713,0.8634408
714,0.8634064
715,0.8630031
716,0.8634494
717,0.8634035
718,0.8631907
719,0.8632932
720,0.8635035
721,0.8632785
722,0.8638734
723,0.8634935
724,0.8630901
725,0.8634549
726,0.8633658
727,0.8633758
728,0.8638012
729,0.8638451
730,0.8631596
731,0.8637508
732,0.8634772
733,0.8638317
734,0.8637441
735,0.8634638
736,0.8634629
737,0.8640053
738,0.8638469
739,0.8637284
740,0.8639079
741,0.8637657
742,0.8634699
743,0.8637185
744,0.8637433
745,0.8634576
746,0.8639528
747,0.8638911
748,0.86359
749,0.8636764
750,0.8639209
751,0.8636345
752,0.8640971
753,0.8640316
754,0.8635033
755,0.8639286
756,0.8638099
757,0.8637258
758,0.8639935
759,0.8640272
760,0.8635757
761,0.8641415
762,0.8641565
763,0.8641262
764,0.8640882
765,0.8641824
766,0.8636257
767,0.864165
768,0.863935
769,0.8639913
770,0.8642781
771,0.864016
772,0.863965
773,0.864158
774,0.864031
775,0.8639178
776,0.8644834
777,0.8637391
778,0.8641256
779,0.864147
780,0.8639033
781,0.864069
782,0.8645535
783,0.8643031
784,0.8638995
785,0.8641669
786,0.8641397
787,0.8642106
788,0.8645422
789,0.8645874
790,0.8642004
791,0.8646849
792,0.8645149
793,0.8645283
794,0.8645753
795,0.8646246
796,0.8647947
797,0.8650204
798,0.8647944
799,0.8647429
800,0.8647561
801,0.8646149
802,0.8647039
803,0.8647571
804,0.864464
805,0.8641602
806,0.8645897
807,0.8647417
808,0.8644614
809,0.86445
810,0.8644414
811,0.8644096
812,0.8645897
813,0.8645536
814,0.8646225
815,0.8650413
816,0.8648147
817,0.8644251
818,0.8650811
819,0.8648714
820,0.8647279
821,0.8648779
822,0.8648283
823,0.8648314
824,0.8650663
825,0.8648384
